"width" "height" "x_off" "y_off"
"bwb02" 28 12 278 329
"bwb03" 28 12 258 306
"bwb04" 28 12 161 166
"bwb05" 28 12 139 146
"bwb07" 28 12 305 227
"bwb08" 28 12 322 244
"bwb09" 28 12 198 187
"bwb10" 28 12 228 184
"bwb11" 28 12 264 152
"bwb12" 28 12 184 299
"bwb13" 28 12 233 164
"bwb14" 28 12 126 220
"bwb15" 28 12 100 172
"bwb16" 28 12 227 216
"bwb17" 28 12 181 231
"bwb18" 28 12 165 97
"bwb19" 28 12 184 68
"bwb20" 28 12 98 314
"bwb21" 28 12 115 295
"bwb22" 28 12 314 263
"bwb23" 28 12 337 290
"bwb24" 28 12 346 273
"bwb25" 28 12 438 346
"bwb26" 28 12 424 265
"bwb27" 28 12 458 305
"bwb28" 28 12 351 256
"bwb29" 28 12 341 130
"bwb30" 28 12 295 196
"bwb31" 28 12 247 132
"bwb32" 28 12 333 156
"bwb33" 28 12 305 157
"bwb34" 28 12 336 211
"bwb35" 28 12 395 303
"bwb41" 28 12 394 269
"bwb46" 28 12 368 155
"bwb47" 28 12 377 205
"bwb49" 28 12 318 78
"bwb55" 28 12 224 273
"bwb56" 28 12 177 282
"bwb57" 28 12 492 282
"bwb60" 28 12 140 183
"DateTimeMin" 16 10 165 388
"DateTimeWithoutMin" 90 12 72 387
"DateTime" 150 12 72 387
